,Value,Type,Class,Description
7708,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7709,FAP,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7710,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7711,FAP,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7712,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7713,FAP,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7714,C9deficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7715,Deficiencyoftheninthcomponentofhumancomplement,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7716,complementdeficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7717,C9deficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7718,C9deficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7719,C9deficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7720,hereditaryhemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7721,autosomalrecessivedisease,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7722,hereditaryhemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7723,hereditaryhemochromatotic,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7724,familialMediterraneanfever,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7725,FamilialMediterraneanfever,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7726,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7727,recessivedisorder,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7728,serositis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7729,synovitis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7730,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7731,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7732,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7733,Autoimmunelymphoproliferativesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7734,Autoimmunelymphoproliferativesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7735,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7736,disorderoflymphocytehomeostasisandimmunologicaltolerance,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7737,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7738,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7739,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7740,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7741,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7742,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7743,hemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7744,Genetichemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7745,GH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7746,GH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7747,GH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7748,infectiousdiseases,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7749,geneticdisorders,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7750,anemia,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7751,hemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7752,alkaptonuria,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7753,Alkaptonuria,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7754,aku,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7755,inbornerrorofmetabolism,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7756,Non-syndromichearingloss,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7757,enlargedvestibularaqueduct,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7758,PDS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7759,Enlargedvestibularaqueduct,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7760,EVA,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7761,innerearabnormality,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7762,non-syndromicsensorineuralhearingloss,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7763,EVA,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7764,Pendredsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7765,PDS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7766,Pendredsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7767,non-syndromicsensorineuralhearingloss,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7768,EVA,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7769,syndromicandnon-syndromichearingloss,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7770,X-linkedadrenoleukodystrophy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7771,X-linkedadrenoleukodystrophy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7772,ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7773,inheriteddisease,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7774,neurologicdysfunction,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7775,adrenalinsufficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7776,ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7777,childhoodcerebralALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7778,neurologicdeterioration,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7779,cerebralALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7780,neurologicdysfunction,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7781,adrenomyeloneuropathy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7782,Addisondisease,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7783,ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7784,childhoodcerebralALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7785,cerebralALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7786,adrenomyeloneuropathy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7787,ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7788,cerebralALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7789,ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7790,ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7791,ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7792,skintumour,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7793,cancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7794,coloncancers,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7795,adenomatouspolyposiscoli,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7796,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7797,colonandsomeothercancers,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7798,skintumours,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7799,pilomatricomas,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7800,pilomatricomas,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7801,skintumour,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7802,tumour,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7803,pilomatricomas,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7804,tumours,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7805,tumours,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7806,Pendredsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7807,Pendredsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7808,syndromicdeafness,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7809,sensorineuralhearingloss,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7810,goitre,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7811,Pendredsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7812,PDS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7813,diastrophicdysplasia,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7814,adenoma,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7815,Pendredsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7816,hemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7817,hemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7818,Hereditaryhemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7819,HH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7820,autosomalrecessivegeneticdisorder,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7821,HH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7822,HH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7823,HH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7824,hemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7825,HH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7826,HH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7827,HH,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7828,hemochromatosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7829,ovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7830,breastcancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7831,ovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7832,ovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7833,ovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7834,ovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7835,breastorovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7836,cancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7837,cancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7838,ovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7839,ovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7840,ovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7841,adrenoleukodystrophyproteindeficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7842,X-ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7843,Inheriteddefects,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7844,adrenoleukodystrophy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7845,peroxisomaldisorder,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7846,X-linkedadrenoleukodystrophy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7847,X-ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7848,X-ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7849,X-ALD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7850,tumor,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7851,breastandovariancancers,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7852,chromosomalabnormalities,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7853,aneuploidy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7854,"autoimmunelymphoproliferativesyndrome,typeIa",Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7855,autoimmunelymphoproliferativesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7856,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7857,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7858,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7859,ALPS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7860,alkaptonuria,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7861,AKU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7862,alkaptonuria,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7863,AKU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7864,AKU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7865,AKU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7866,AKU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7867,Fabrydisease,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7868,Fabrydisease,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7869,FD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7870,angiokeratomacorporisdiffusum,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7871,X-linkedinbornerrorofglycosphingolipidmetabolism,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7872,angiokeratoma,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7873,severeacroparesthesia,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7874,renalfailure,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7875,vasculopathyoftheheartandbrain,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7876,alpha-galactosidasedeficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7877,alpha-GalAdeficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7878,FD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7879,Pelizaeus-Merzbacherdisease,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7880,Pelizaeus-Merzbacherdisease,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7881,PelizaeusMerzbacherdisease,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7882,familialadenomatouspolyposis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7883,adenomatouspolyposiscoli,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7884,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7885,familialAPC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7886,FAP,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7887,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7888,colorectaladenomas,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7889,carcinomas,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7890,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7891,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7892,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7893,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7894,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7895,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7896,polyposis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7897,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7898,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7899,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7900,attenuatedpolyposis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7901,APC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7902,FAP,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7903,colorectaltumor,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7904,breastandovariancancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7905,CombinedgeneticdeficiencyofC6andC7,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7906,sub-totaldeficiencyofC6andC7,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7907,C6deficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7908,X-linkedEmery-Dreifussmusculardystrophy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7909,Emery-Dreifussmusculardystrophy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7910,EDMD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7911,X-linkedrecessivemusculardystrophy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7912,"contracturesoftheelbows,Achillestendonsandspine",Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7913,musclewasting,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7914,weakness,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7915,cardiomyopathy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7916,cardiacconductiondefects,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7917,EDMD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7918,EDMD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7919,EDMD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7920,elbowcontractures,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7921,anklecontractures,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7922,upperlimbweakness,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7923,lowerlimbweakness,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7924,cardiacinvolvement,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7925,EDMD,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7926,VanderWoudesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7927,VanderWoudesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7928,VWS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7929,autosomaldominantdisorder,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7930,cleftlip,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7931,cleftpalate,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7932,lippits,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7933,cleftlip/palate,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7934,lippits,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7935,developmentaldelays,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7936,VWS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7937,VWS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7938,VWS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7939,poplitealpterygiasyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7940,syndromicformsofcleftlipandpalate,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7941,nonsyndromiccleftlipandpalate,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7942,ataxia-telangiectasia,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7943,ataxia-telangiectasia,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7944,AT,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7945,AT,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7946,familialhypertrophiccardiomyopathy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7947,familialhypertrophiccardiomyopathy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7948,FHC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7949,FHC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7950,idiopathicdilatedcardiomyopathy,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7951,IDC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7952,Overgrowthoforalmucosaandfacialskin,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7953,aspartylglucosaminuria,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7954,Aspartylglucosaminuria,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7955,AGU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7956,lysosomalstoragedisorder,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7957,deficiencyofaspartylglucosaminidase,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7958,mentalretardation,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7959,AGU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7960,faciallesions,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7961,erythemaofthefacialskin,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7962,facialangiofibromas,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7963,tumours,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7964,tuberoussclerosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7965,Oedemicbuccalmucosa,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7966,leucoedema,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7967,gingivalovergrowths,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7968,AGU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7969,oralmucosallesions,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7970,fibroepithelialorepithelialhyperplasias,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7971,AGU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7972,mucosallesions,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7973,mucosalovergrowth,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7974,AGU,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7975,Lowesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7976,oculocerebrorenalsyndromeofLowe,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7977,OCRL,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7978,X-linkeddisorder,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7979,"abnormalitiesofeyes,nervoussystem,andkidneys",Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7980,OCRL,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7981,Lowesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7982,FamilialMediterraneanfever,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7983,FamilialMediterraneanfever,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7984,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7985,recessivelyinheriteddisorder,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7986,serosalinflammation,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7987,Renalamyloidosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7988,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7989,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7990,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7991,FMF,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7992,renalamyloidosis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7993,arthritis,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7994,fragileXsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7995,fragileXsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7996,fragileXsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7997,fragileXsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7998,fragileX,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
7999,fragileX,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8000,Mentallyretarded,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8001,mentallyretarded,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8002,fragileX,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8003,hereditaryprostatecancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8004,prostatecancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8005,Prostatecancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8006,prostatecancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8007,hereditaryprostatecancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8008,HPC,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8009,prostatecancer,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8010,beta-glucuronidasedeficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8011,mucopolysaccharidosisVII,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8012,mucopolysaccharidosisVII,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8013,autosomalrecessivelysosomalstoragedisorder,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8014,beta-glucuronidasedeficiency,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8015,MPSVII,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8016,rearrangementdisorders,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8017,congenitalanomalydisorders,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8018,malignanttumors,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8019,congenitalanomalydisorders,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8020,cat-eyesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8021,der()syndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8022,velo-cardio-facialsyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8023,DiGeorgesyndrome,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8024,VCFS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8025,DGS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8026,VCFS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8027,DGS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8028,VCFS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8029,DGS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8030,VCFS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8031,DGS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8032,VCFS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8033,DGS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8034,VCFS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8035,DGS,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
8036,congenitalanomalydisorders,Text,Disease,"an illness affecting humans, animals or plants, often caused by infection"
