,Value,Type,Class,Description
7372,director,Occupation,Business Secret,a job
7373,reporter,Occupation,Business Secret,a job
7374,chairman,Occupation,Business Secret,a job
7375,points,Occupation,Business Secret,a job
7376,reporter,Occupation,Business Secret,a job
7377,customerservice,Occupation,Business Secret,a job
7378,actor,Occupation,Business Secret,a job
7379,economist,Occupation,Business Secret,a job
7380,director,Occupation,Business Secret,a job
7381,chairman,Occupation,Business Secret,a job
7382,.,Occupation,Business Secret,a job
7383,designer,Occupation,Business Secret,a job
7384,hongkongsecuritiesregulatorycommission,Occupation,Business Secret,a job
7385,.,Occupation,Business Secret,a job
7386,coach,Occupation,Business Secret,a job
7387,chairmanof,Occupation,Business Secret,a job
7388,chieflegalconsultant,Occupation,Business Secret,a job
7389,president,Occupation,Business Secret,a job
7390,generalmanager,Occupation,Business Secret,a job
7391,professionalactor,Occupation,Business Secret,a job
7392,retaildeputy,Occupation,Business Secret,a job
7393,chinese,Occupation,Business Secret,a job
7394,executive,Occupation,Business Secret,a job
7395,creativedirector,Occupation,Business Secret,a job
7396,painter,Occupation,Business Secret,a job
7397,",",Occupation,Business Secret,a job
7398,vicepresident,Occupation,Business Secret,a job
7399,reporter,Occupation,Business Secret,a job
7400,research,Occupation,Business Secret,a job
7401,astronomer,Occupation,Business Secret,a job
7402,reporter,Occupation,Business Secret,a job
7403,director,Occupation,Business Secret,a job
7404,editor,Occupation,Business Secret,a job
7405,reporter,Occupation,Business Secret,a job
7406,host,Occupation,Business Secret,a job
7407,",",Occupation,Business Secret,a job
7408,deputydirector,Occupation,Business Secret,a job
7409,reporter,Occupation,Business Secret,a job
7410,salesmanager,Occupation,Business Secret,a job
7411,international,Occupation,Business Secret,a job
7412,analyst,Occupation,Business Secret,a job
7413,director,Occupation,Business Secret,a job
7414,reporter,Occupation,Business Secret,a job
7415,architect,Occupation,Business Secret,a job
7416,boss,Occupation,Business Secret,a job
7417,author,Occupation,Business Secret,a job
7418,financial,Occupation,Business Secret,a job
7419,deputydirector,Occupation,Business Secret,a job
7420,president,Occupation,Business Secret,a job
7421,",",Occupation,Business Secret,a job
7422,.,Occupation,Business Secret,a job
7423,newhandsome,Occupation,Business Secret,a job
7424,generalmanager,Occupation,Business Secret,a job
7425,maincoach,Occupation,Business Secret,a job
7426,reporter,Occupation,Business Secret,a job
7427,pilot,Occupation,Business Secret,a job
7428,researcher,Occupation,Business Secret,a job
7429,",",Occupation,Business Secret,a job
7430,reporter,Occupation,Business Secret,a job
7431,deputydirector,Occupation,Business Secret,a job
7432,",",Occupation,Business Secret,a job
7433,reporters:,Occupation,Business Secret,a job
7434,as,Occupation,Business Secret,a job
7435,spy,Occupation,Business Secret,a job
7436,salesman,Occupation,Business Secret,a job
7437,.,Occupation,Business Secret,a job
7438,personincharge,Occupation,Business Secret,a job
7439,reporter,Occupation,Business Secret,a job
7440,lawyer,Occupation,Business Secret,a job
7441,.,Occupation,Business Secret,a job
7442,minister,Occupation,Business Secret,a job
7443,president,Occupation,Business Secret,a job
7444,chinesemedicine,Occupation,Business Secret,a job
7445,",",Occupation,Business Secret,a job
7446,director,Occupation,Business Secret,a job
7447,",",Occupation,Business Secret,a job
7448,banktrader,Occupation,Business Secret,a job
7449,reporter,Occupation,Business Secret,a job
7450,beijingmunicipalpeople'scongress,Occupation,Business Secret,a job
7451,manager,Occupation,Business Secret,a job
7452,literati,Occupation,Business Secret,a job
7453,folk,Occupation,Business Secret,a job
7454,reporter,Occupation,Business Secret,a job
7455,.,Occupation,Business Secret,a job
7456,reporter,Occupation,Business Secret,a job
7457,.,Occupation,Business Secret,a job
7458,photographer,Occupation,Business Secret,a job
7459,titanic,Occupation,Business Secret,a job
7460,coach,Occupation,Business Secret,a job
7461,president,Occupation,Business Secret,a job
7462,reporter,Occupation,Business Secret,a job
7463,",",Occupation,Business Secret,a job
7464,painter,Occupation,Business Secret,a job
7465,artist,Occupation,Business Secret,a job
7466,director,Occupation,Business Secret,a job
7467,chairman,Occupation,Business Secret,a job
7468,.,Occupation,Business Secret,a job
7469,director,Occupation,Business Secret,a job
7470,screenwriter,Occupation,Business Secret,a job
7471,.,Occupation,Business Secret,a job
7472,painter,Occupation,Business Secret,a job
7473,report,Occupation,Business Secret,a job
7474,civilservant,Occupation,Business Secret,a job
7475,yinchuancitypeople'scongresslegalexperts,Occupation,Business Secret,a job
7476,officials,Occupation,Business Secret,a job
7477,.,Occupation,Business Secret,a job
7478,huadan,Occupation,Business Secret,a job
7479,reporter,Occupation,Business Secret,a job
7480,civil,Occupation,Business Secret,a job
7481,",",Occupation,Business Secret,a job
7482,professor,Occupation,Business Secret,a job
7483,expert,Occupation,Business Secret,a job
7484,collection,Occupation,Business Secret,a job
7485,deputymayor,Occupation,Business Secret,a job
7486,intern,Occupation,Business Secret,a job
7487,.,Occupation,Business Secret,a job
7488,artist,Occupation,Business Secret,a job
7489,bestcoach,Occupation,Business Secret,a job
7490,coach,Occupation,Business Secret,a job
7491,painter,Occupation,Business Secret,a job
7492,director,Occupation,Business Secret,a job
7493,.,Occupation,Business Secret,a job
7494,agent,Occupation,Business Secret,a job
7495,",",Occupation,Business Secret,a job
7496,reporter,Occupation,Business Secret,a job
7497,generalmanager,Occupation,Business Secret,a job
7498,.,Occupation,Business Secret,a job
7499,researcher,Occupation,Business Secret,a job
7500,.,Occupation,Business Secret,a job
7501,reporter,Occupation,Business Secret,a job
7502,professor,Occupation,Business Secret,a job
7503,president,Occupation,Business Secret,a job
7504,director,Occupation,Business Secret,a job
7505,reporter,Occupation,Business Secret,a job
7506,reporter,Occupation,Business Secret,a job
7507,",",Occupation,Business Secret,a job
7508,duke,Occupation,Business Secret,a job
7509,slavery,Occupation,Business Secret,a job
7510,reporter,Occupation,Business Secret,a job
7511,reporter,Occupation,Business Secret,a job
7512,deputydirector,Occupation,Business Secret,a job
7513,deputydirector,Occupation,Business Secret,a job
7514,forward,Occupation,Business Secret,a job
7515,.,Occupation,Business Secret,a job
7516,screenwriter,Occupation,Business Secret,a job
7517,director,Occupation,Business Secret,a job
7518,actor,Occupation,Business Secret,a job
7519,reporter,Occupation,Business Secret,a job
7520,minister,Occupation,Business Secret,a job
7521,",",Occupation,Business Secret,a job
7522,entertainmentstars,Occupation,Business Secret,a job
7523,.,Occupation,Business Secret,a job
7524,",",Occupation,Business Secret,a job
7525,.,Occupation,Business Secret,a job
7526,executivedirectorofbeijingpushtraditionalculturedevelopmentcenter,Occupation,Business Secret,a job
7527,vicepresident,Occupation,Business Secret,a job
7528,reporter,Occupation,Business Secret,a job
7529,.,Occupation,Business Secret,a job
7530,reporter,Occupation,Business Secret,a job
7531,generalmanager,Occupation,Business Secret,a job
7532,jade,Occupation,Business Secret,a job
7533,reporter,Occupation,Business Secret,a job
7534,director,Occupation,Business Secret,a job
7535,.,Occupation,Business Secret,a job
7536,author,Occupation,Business Secret,a job
7537,painter,Occupation,Business Secret,a job
7538,person,Occupation,Business Secret,a job
7539,",",Occupation,Business Secret,a job
7540,teacher,Occupation,Business Secret,a job
7541,deputydirector,Occupation,Business Secret,a job
7542,director,Occupation,Business Secret,a job
7543,reporter,Occupation,Business Secret,a job
7544,director,Occupation,Business Secret,a job
7545,writer,Occupation,Business Secret,a job
7546,reporter,Occupation,Business Secret,a job
7547,reporter,Occupation,Business Secret,a job
7548,owner,Occupation,Business Secret,a job
7549,internationalstudents,Occupation,Business Secret,a job
7550,designer,Occupation,Business Secret,a job
7551,reporter,Occupation,Business Secret,a job
7552,reporter,Occupation,Business Secret,a job
7553,",",Occupation,Business Secret,a job
7554,standingcommitteeof,Occupation,Business Secret,a job
7555,chairman,Occupation,Business Secret,a job
7556,writer,Occupation,Business Secret,a job
7557,",",Occupation,Business Secret,a job
7558,architect,Occupation,Business Secret,a job
7559,adenomatouspolyposiscolitumour,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7560,adenomatouspolyposiscoli(APC)tumour,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7561,coloncarcinoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7562,coloncarcinoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7563,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7564,HNPCC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7565,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7566,hereditarynon-polyposiscancersyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7567,HNPCC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7568,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7569,HNPCC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7570,colorectal,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7571,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7572,HNPCC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7573,"colorectal,endometrial,andovariancancers",Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7574,cancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7575,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7576,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7577,endometrialcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7578,premenopausalovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7579,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7580,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7581,Huntingtondisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7582,Huntingtondisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7583,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7584,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7585,Alzheimerdisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7586,neurologicaldiseases,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7587,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7588,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7589,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7590,neurodegeneration,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7591,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7592,Familialdeficiencyoftheseventhcomponentofcomplement,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7593,bacteremicinfectionsduetoNeisseria,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7594,disseminatedgonococcalinfection,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7595,meningococcalmeningitis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7596,arthritis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7597,absenceoffunctionalC7,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7598,CompleteabsenceofC7,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7599,meningococcalmeningitis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7600,arthritis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7601,C7deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7602,C7deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7603,bacteremicneisseriainfections,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7604,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7605,cartilage-hairhypoplasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7606,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7607,cartilage-hairhypoplasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7608,CHH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7609,CHH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7610,CHH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7611,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7612,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7613,CHH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7614,non-Hodgkinslymphoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7615,basalcellcarcinoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7616,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7617,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7618,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7619,non-Hodgkinslymphoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7620,CHH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7621,dihydropyrimidinedehydrogenasedeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7622,Dihydropyrimidinedehydrogenase(DPD)deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7623,autosomalrecessivedisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7624,DPDdeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7625,deficiencyofDPD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7626,DPD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7627,convulsivedisorders,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7628,motorretardation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7629,mentalretardation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7630,clinicalabnormalities,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7631,DPDdeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7632,Borjeson-Forssman-Lehmannsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7633,BFLS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7634,Borjeson-Forssman-Lehmannsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7635,BFLS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7636,X-linkedmentalretardation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7637,BFLS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7638,BFLSsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7639,X-linkedmentalretardation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7640,familialgastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7641,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7642,familialgastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7643,Familialgastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7644,gastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7645,familialgastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7646,gastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7647,gastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7648,gastricandcolorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7649,gastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7650,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7651,familialgastriccancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7652,gastriccancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7653,colorectalandothercancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7654,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7655,gastricandcolorectalcancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7656,urogenitalabnormalities,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7657,Denys-Drashsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7658,Wilmstumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7659,WT1dysfunction,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7660,neoplastic,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7661,Wilmstumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7662,mesothelioma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7663,leukemias,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7664,breastcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7665,nonneoplastic,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7666,glomerulosclerosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7667,Denys-Drashsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7668,DDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7669,DDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7670,nephropathy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7671,mesangialsclerosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7672,pseudohermaphroditism,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7673,Wilmstumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7674,WT,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7675,DDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7676,mesangialsclerosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7677,DDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7678,Malegenitaldefects,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7679,Wilmstumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7680,Wt1dysfunction,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7681,Wilmstumorigenesis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7682,WT,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7683,hereditaryhemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7684,Hereditaryhemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7685,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7686,autosomalrecessivedisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7687,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7688,dietaryirondeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7689,adrenoleukodystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7690,adrenoleukodystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7691,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7692,dying-backaxonopathy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7693,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7694,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7695,spinalSEPabnormalities,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7696,spinalabnormalities,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7697,inflammatorybrainlesions,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7698,oromandibulardystonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7699,oromandibulardystonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7700,dystonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7701,dystonic,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7702,dopa-responsivedystonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7703,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7704,familialadenomatouspolyposis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7705,familialadenomatouspolyposis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7706,FAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7707,adenomatouspolyposiscoli,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7708,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7709,FAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7710,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7711,FAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7712,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7713,FAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7714,C9deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7715,Deficiencyoftheninthcomponentofhumancomplement,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7716,complementdeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7717,C9deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7718,C9deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7719,C9deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7720,hereditaryhemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7721,autosomalrecessivedisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7722,hereditaryhemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7723,hereditaryhemochromatotic,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7724,familialMediterraneanfever,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7725,FamilialMediterraneanfever,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7726,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7727,recessivedisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7728,serositis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7729,synovitis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7730,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7731,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7732,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7733,Autoimmunelymphoproliferativesyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7734,Autoimmunelymphoproliferativesyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7735,ALPS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7736,disorderoflymphocytehomeostasisandimmunologicaltolerance,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7737,ALPS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7738,ALPS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7739,ALPS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7740,ALPS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7741,ALPS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7742,ALPS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7743,hemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7744,Genetichemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7745,GH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7746,GH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7747,GH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7748,infectiousdiseases,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7749,geneticdisorders,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7750,anemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7751,hemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7752,alkaptonuria,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7753,Alkaptonuria,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7754,aku,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7755,inbornerrorofmetabolism,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7756,Non-syndromichearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7757,enlargedvestibularaqueduct,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7758,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7759,Enlargedvestibularaqueduct,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7760,EVA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7761,innerearabnormality,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7762,non-syndromicsensorineuralhearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7763,EVA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7764,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7765,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7766,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7767,non-syndromicsensorineuralhearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7768,EVA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7769,syndromicandnon-syndromichearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
